"Id";"PropertyId";"SourceId";"DestinationId";"Adults";"Children";"Rooms";"InDate";"OutDate";"Rate"
1;23541;1;285;1;0;1;"2015-07-18";"2015-07-20";98.0
2;9098;1;77;2;2;1;"2015-07-27";"2015-07-28";104.99
3;23378;1;285;1;0;1;"2015-07-15";"2015-07-16";92.0
4;23865;1;285;2;1;1;"2015-07-22";"2015-07-24";129.0
5;23890;1;285;1;0;1;"2015-07-16";"2015-07-17";126.28
6;23521;1;285;1;0;1;"2015-07-15";"2015-07-16";94.0
7;23297;1;285;1;0;1;"2015-07-27";"2015-07-31";119.0
8;23545;1;285;1;0;1;"2015-08-25";"2015-08-28";84.0
9;23240;1;285;1;0;1;"2015-07-25";"2015-07-26";239.0
10;23218;1;285;2;2;1;"2016-03-18";"2016-03-20";129.0
11;23185;1;285;1;0;1;"2015-07-17";"2015-07-18";135.0
12;23896;1;285;1;0;1;"2015-07-19";"2015-07-23";161.1
13;23452;1;285;2;2;1;"2015-07-22";"2015-07-25";89.0
14;9412;1;77;2;0;1;"2015-07-16";"2015-07-17";104.99
15;23308;1;285;1;0;1;"2015-07-18";"2015-07-19";56.25
16;23246;1;285;1;0;1;"2015-07-17";"2015-07-18";134.1
17;23852;1;285;2;0;1;"2015-07-21";"2015-07-22";125.0
18;23804;1;285;1;0;1;"2015-07-15";"2015-07-18";89.38
19;23365;1;285;1;0;1;"2015-07-19";"2015-07-31";112.5
20;8989;1;77;2;0;1;"2015-07-25";"2015-07-26";114.99
21;23567;1;285;1;0;1;"2015-07-15";"2015-07-16";104.0
22;23673;1;285;1;0;1;"2015-07-15";"2015-07-17";93.0
23;23488;1;285;2;2;1;"2015-07-24";"2015-07-26";94.0
24;23343;1;285;1;0;1;"2015-07-16";"2015-07-17";58.9
25;23168;1;285;2;0;1;"2015-08-07";"2015-08-09";89.0
26;23221;1;285;2;0;1;"2015-07-19";"2015-07-20";75.0
27;8989;1;77;2;0;1;"2015-07-25";"2015-07-26";114.99
28;23922;1;285;1;0;1;"2015-07-15";"2015-07-16";89.0
29;23404;1;285;1;0;1;"2015-07-21";"2015-07-23";69.0
